,Title,Studio,Opening,Date,Director
119,Maleficent,BV,"$69,431,298",5/30/2014,Robert Stromberg
120,The Bourne Ultimatum,Uni.,"$69,283,690",8/3/2007,Paul Greengrass
121,Pitch Perfect 2,Uni.,"$69,216,890",5/15/2015,Elizabeth Banks
122,The LEGO Movie,WB,"$69,050,279",2/7/2014,"Phil Lord, Christopher Miller"
123,The Day After Tomorrow,Fox,"$68,743,584",5/28/2004,Roland Emmerich
124,Planet of the Apes (2001),Fox,"$68,532,960",7/27/2001,
125,The Mummy Returns,Uni.,"$68,139,035",5/4/2001,Stephen Sommers
126,Up,BV,"$68,108,790",5/29/2009,"Pete Docter, Bob Peterson(co-director)"
127,Ice Age: The Meltdown,Fox,"$68,033,544",3/31/2006,Carlos Saldanha
128,Bruce Almighty,Uni.,"$67,953,330",5/23/2003,Tom Shadyac
129,Cinderella (2015),BV,"$67,877,361",3/13/2015,
130,Quantum of Solace,Sony,"$67,528,882",11/14/2008,Marc Forster
131,Rush Hour 2,NL,"$67,408,222",8/3/2001,Brett Ratner
132,Frozen,BV,"$67,391,326",11/27/2013,"Chris Buck, Jennifer Lee"
133,World War Z,Par.,"$66,411,834",6/21/2013,Marc Forster
134,Brave,BV,"$66,323,594",6/22/2012,"Mark Andrews, Brenda Chapman, Steve Purcell(co-director)"
135,Cars 2,BV,"$66,135,507",6/24/2011,"John Lasseter, Brad Lewis(co-director)"
136,X-Men: Apocalypse,Fox,"$65,769,562",5/27/2016,Bryan Singer
137,Thor,Par.,"$65,723,338",5/6/2011,Kenneth Branagh
138,Teenage Mutant Ninja Turtles (2014),Par.,"$65,575,105",8/8/2014,
139,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,"$65,556,312",12/9/2005,Andrew Adamson
140,2012,Sony,"$65,237,614",11/13/2009,Roland Emmerich
141,Captain America: The First Avenger,Par.,"$65,058,524",7/22/2011,Joe Johnston
142,War of the Worlds,Par.,"$64,878,725",6/29/2005,Steven Spielberg
143,The Twilight Saga: Eclipse,Sum.,"$64,832,191",6/30/2010,David Slade
144,Star Wars: Episode I - The Phantom Menace,Fox,"$64,820,970",5/19/1999,George Lucas
145,Madagascar: Escape 2 Africa,P/DW,"$63,106,589",11/7/2008,"Eric Darnell, Tom McGrath"
146,WALL-E,BV,"$63,087,526",6/27/2008,Andrew Stanton
147,Pirates of the Caribbean: Dead Men Tell No Tales,BV,"$62,983,253",5/26/2017,"Joachim Rønning, Espen Sandberg"
148,Inception,WB,"$62,785,337",7/16/2010,Christopher Nolan
149,Hancock,Sony,"$62,603,879",7/2/2008,Peter Berg
150,"Monsters, Inc.",BV,"$62,577,067",11/2/2001,"Pete Docter, David Silverman(co-director), Lee Unkrich(co-director)"
151,Sherlock Holmes,WB,"$62,304,277",12/25/2009,Guy Ritchie
152,Hulk,Uni.,"$62,128,420",6/20/2003,Ang Lee
153,The Lord of the Rings: The Two Towers,NL,"$62,007,528",12/18/2002,Peter Jackson
154,The Amazing Spider-Man,Sony,"$62,004,688",7/3/2012,Marc Webb
155,Clash of the Titans (2010),WB,"$61,235,105",4/2/2010,
156,Kong: Skull Island,WB,"$61,025,472",3/10/2017,Jordan Vogt-Roberts
157,Madagascar 3: Europe's Most Wanted,P/DW,"$60,316,738",6/8/2012,
158,Kung Fu Panda,P/DW,"$60,239,130",6/6/2008,"Mark Osborne, John Stevenson"
159,Straight Outta Compton,Uni.,"$60,200,180",8/14/2015,F. Gary Gray
160,Cars,BV,"$60,119,509",6/9/2006,"John Lasseter, Joe Ranft(co-director)"
161,Signs,BV,"$60,117,080",8/2/2002,M. Night Shyamalan
162,Monsters Vs. Aliens,P/DW,"$59,321,095",3/27/2009,
163,Star Trek Beyond,Par.,"$59,253,211",7/22/2016,Justin Lin
164,Jason Bourne,Uni.,"$59,215,365",7/29/2016,Paul Greengrass
165,Pearl Harbor,BV,"$59,078,912",5/25/2001,Michael Bay
166,Fantastic Four: Rise of the Silver Surfer,Fox,"$58,051,684",6/15/2007,
167,Hannibal,MGM,"$58,003,121",2/9/2001,Ridley Scott
168,Mission: Impossible II,Par.,"$57,845,297",5/24/2000,John Woo
169,Toy Story 2,BV,"$57,388,839",11/24/1999,"John Lasseter, Ash Brannon(co-director), Lee Unkrich(co-director)"
170,Ant-Man,BV,"$57,225,526",7/17/2015,Peyton Reed
171,22 Jump Street,Sony,"$57,071,445",6/13/2014,"Phil Lord, Christopher Miller"
172,Sex and the City,WB (NL),"$57,038,404",5/30/2008,Michael Patrick King
173,Moana,BV,"$56,631,401",11/23/2016,"Ron Clements, John Musker, Don Hall(co-director), Chris Williams(co-director)"
174,Despicable Me,Uni.,"$56,397,125",7/9/2010,"Pierre Coffin, Chris Renaud"
175,War for the Planet of the Apes,Fox,"$56,262,929",7/14/2017,Matt Reeves
176,Valentine's Day,WB (NL),"$56,260,707",2/12/2010,Dan Balcaban
177,Snow White and the Huntsman,Uni.,"$56,217,700",6/1/2012,Rupert Sanders
178,Big Hero 6,BV,"$56,215,889",11/7/2014,"Don Hall, Chris Williams"
179,Charlie and the Chocolate Factory,WB,"$56,178,450",7/15/2005,Tim Burton
180,Fantastic Four (2005),Fox,"$56,061,504",7/8/2005,
181,Gravity,WB,"$55,785,112",10/4/2013,Alfonso Cuarón
182,The Karate Kid,Sony,"$55,665,805",6/11/2010,John G. Avildsen
183,Mission: Impossible - Rogue Nation,Par.,"$55,520,089",7/31/2015,Christopher McQuarrie
184,The Incredible Hulk,Uni.,"$55,414,050",6/13/2008,Louis Leterrier
185,The SpongeBob Movie: Sponge Out of Water,Par.,"$55,365,012",2/6/2015,"Paul Tibbitt, Mike Mitchell"
186,Watchmen,WB,"$55,214,334",3/6/2009,Zack Snyder
187,X-Men: First Class,Fox,"$55,101,604",6/3/2011,Matthew Vaughn
188,How the Grinch Stole Christmas,Uni.,"$55,082,330",11/17/2000,Ron Howard
189,The Chronicles of Narnia: Prince Caspian,BV,"$55,034,805",5/16/2008,Andrew Adamson
190,Austin Powers: The Spy Who Shagged Me,NL,"$54,917,604",6/11/1999,Jay Roach
191,Rise of the Planet of the Apes,Fox,"$54,806,191",8/5/2011,Rupert Wyatt
192,The Hobbit: The Battle of the Five Armies,WB (NL),"$54,724,334",12/17/2014,Peter Jackson
193,G.I. Joe: The Rise of Cobra,Par.,"$54,713,046",8/7/2009,Stephen Sommers
194,Divergent,LG/S,"$54,607,747",3/21/2014,Neil Burger
195,MIB 3,Sony,"$54,592,779",5/25/2012,N/A
196,San Andreas,WB (NL),"$54,588,173",5/29/2015,Brad Peyton
197,X-Men,Fox,"$54,471,475",7/14/2000,Bryan Singer
198,Ted,Uni.,"$54,415,205",6/29/2012,Seth MacFarlane
199,The Martian,Fox,"$54,308,575",10/2/2015,Ridley Scott
200,Night at the Museum: Battle of the Smithsonian,Fox,"$54,173,286",5/22/2009,Shawn Levy
201,Scooby-Doo,WB,"$54,155,312",6/14/2002,Raja Gosnell
202,Cars 3,BV,"$53,688,680",6/16/2017,Brian Fee
203,Green Lantern,WB,"$53,174,303",6/17/2011,Martin Campbell
204,The Wolverine,Fox,"$53,113,752",7/26/2013,James Mangold
205,The LEGO Batman Movie,WB,"$53,003,468",2/10/2017,Chris McKay
206,Batman Forever,WB,"$52,784,433",6/16/1995,Joel Schumacher
207,Paranormal Activity 3,Par.,"$52,568,183",10/21/2011,"Henry Joost, Ariel Schulman"
208,Superman Returns,WB,"$52,535,096",6/28/2006,Bryan Singer
209,The Bourne Supremacy,Uni.,"$52,521,865",7/23/2004,Paul Greengrass
210,The Divergent Series: Insurgent,LG/S,"$52,263,680",3/20/2015,
211,"I, Robot",Fox,"$52,179,887",7/16/2004,Alex Proyas
212,Men in Black II,Sony,"$52,148,751",7/3/2002,Barry Sonnenfeld
213,Home (2015),Fox,"$52,107,731",3/27/2015,
214,Van Helsing,Uni.,"$51,748,040",5/7/2004,Stephen Sommers
215,8 Mile,Uni.,"$51,240,555",11/8/2002,Curtis Hanson
216,Men in Black,Sony,"$51,068,455",7/2/1997,Barry Sonnenfeld
217,Prometheus,Fox,"$51,050,101",6/8/2012,Ridley Scott
218,Wanted,Uni.,"$50,927,085",6/27/2008,Timur Bekmambetov
219,Coco,BV,"$50,802,605",11/22/2017,"Lee Unkrich, Adrian Molina(co-director)"
220,Jurassic Park III,Uni.,"$50,771,645",7/18/2001,Joe Johnston
221,The Village,BV,"$50,746,142",7/30/2004,M. Night Shyamalan
222,Dunkirk,WB,"$50,513,488",7/21/2017,Christopher Nolan
223,2 Fast 2 Furious,Uni.,"$50,472,480",6/6/2003,John Singleton
224,Jackass 3-D,Par.,"$50,353,641",10/15/2010,
225,Mr. & Mrs. Smith,Fox,"$50,342,878",6/10/2005,Doug Liman
226,Independence Day,Fox,"$50,228,264",7/3/1996,Roland Emmerich
227,A Quiet Place,Par.,"$50,203,562",4/6/2018,John Krasinski
228,The Boss Baby,Fox,"$50,198,902",3/31/2017,Tom McGrath
229,King Kong,Uni.,"$50,130,145",12/14/2005,Peter Jackson
230,The Great Gatsby (2013),WB,"$50,085,185",5/10/2013,
231,,,,,Abolhassan Davoodi
